id,title,source,price,currency,listing_created_on,is_active,last_modified_timestamp
1,"Johnson, Fowler and Johnson",Realtor,4020.95,EUR,27/03/2024,TRUE,27/12/2021
2,Kelley-Johnson,Craigslist,1390.01,INR,23/07/2023,TRUE,10/02/2023
3,"Gibson, Delgado and Austin",Craigslist,3082.67,INR,15/04/2024,TRUE,02/01/2020
4,"Kelly, Smith and Gibson",Zillow,4724.2,USD,27/10/2020,FALSE,23/06/2023
5,Carroll-Burch,Airbnb,3867.11,USD,01/02/2021,FALSE,25/07/2022
6,James LLC,Zillow,2850.27,USD,20/03/2025,TRUE,16/02/2021
7,"Crane, Rodriguez and Charles",Airbnb,4900.15,USD,30/01/2020,TRUE,06/01/2021
8,Stewart-Abbott,Realtor,3085.36,USD,28/05/2023,FALSE,21/08/2023
9,"Dean, Johnson and Stanley",Zillow,1778.69,USD,01/12/2023,FALSE,07/04/2023
10,Riley Inc,Craigslist,2794.78,EUR,14/11/2021,TRUE,20/03/2025
11,Wells-Riley,Zillow,2043.63,EUR,28/08/2021,FALSE,18/12/2024
12,Bates Group,Realtor,2786.4,INR,06/04/2024,FALSE,25/04/2021
13,"Cohen, Brown and Kim",Zillow,3989.44,INR,15/04/2020,FALSE,13/10/2020
14,Rodriguez-Chambers,Zillow,4108.96,USD,22/08/2024,TRUE,06/02/2024
15,"Simmons, Garcia and Murray",Zillow,3482.88,USD,22/07/2021,FALSE,21/02/2025
16,Mitchell-Kelly,Airbnb,1090.52,INR,29/04/2021,TRUE,02/06/2022
17,"Brooks, Reed and Delgado",Craigslist,1123.42,INR,31/05/2023,FALSE,08/09/2022
18,"Williams, Brown and Tucker",Airbnb,1683.46,EUR,02/09/2023,FALSE,13/10/2024
19,Williamson-Strong,Realtor,2434.81,USD,16/08/2020,FALSE,18/05/2020
20,Pratt Group,Realtor,1350.94,INR,23/03/2023,TRUE,13/03/2025
21,Rivers-Whitehead,Airbnb,3281.83,EUR,20/07/2023,TRUE,11/08/2023
22,Marsh Inc,Airbnb,4124.62,EUR,27/09/2023,FALSE,29/06/2021
23,Sandoval PLC,Apartments.com,3152.07,USD,22/06/2024,FALSE,01/10/2020
24,Smith PLC,Airbnb,2632.78,EUR,13/10/2024,TRUE,09/03/2025
25,"Spencer, Johnson and Faulkner",Airbnb,1395.98,INR,23/01/2025,FALSE,08/02/2023
26,"Bradford, Allen and Harvey",Airbnb,4840.12,USD,28/02/2023,TRUE,22/10/2020
27,Reid-Jones,Airbnb,4118.98,EUR,28/03/2021,FALSE,09/12/2023
28,"Wallace, Davidson and Jones",Airbnb,2154.74,INR,02/06/2021,TRUE,24/12/2021
29,Jones Ltd,Zillow,2092.34,INR,07/03/2021,TRUE,06/09/2020
30,Flores LLC,Apartments.com,1220.91,EUR,22/03/2022,FALSE,23/05/2022
31,Holloway-Bonilla,Zillow,1075.77,EUR,12/01/2020,TRUE,30/05/2024
32,Gonzalez-Meyer,Zillow,2000.77,EUR,22/10/2024,FALSE,08/07/2020
33,Gonzalez-Freeman,Zillow,1283.47,USD,25/08/2023,TRUE,15/04/2023
34,Thomas-Skinner,Apartments.com,2952.99,USD,04/03/2022,FALSE,22/12/2022
35,"Bradley, Taylor and Williams",Apartments.com,2433.99,EUR,21/10/2023,FALSE,07/09/2023
36,Nash-Higgins,Zillow,3743.22,USD,04/08/2021,FALSE,17/10/2021
37,"Vaughn, Meyer and Palmer",Realtor,3982.32,INR,23/03/2021,FALSE,08/06/2022
38,"Lowery, Buchanan and Clark",Realtor,4764.45,USD,28/08/2020,TRUE,30/09/2021
39,Lee-Leach,Realtor,2086.62,EUR,20/08/2024,FALSE,20/04/2022
40,Daniels-Rasmussen,Zillow,4620.44,INR,17/05/2023,TRUE,18/05/2021
41,Cook PLC,Zillow,2234.79,EUR,07/05/2020,FALSE,26/11/2020
42,"Huang, Clark and Martinez",Airbnb,3713.82,EUR,30/05/2023,TRUE,02/08/2022
43,"Oneill, Mitchell and Velazquez",Airbnb,2520.98,EUR,27/02/2024,TRUE,06/01/2021
44,"Smith, Reid and Brown",Apartments.com,3673.16,INR,25/03/2022,TRUE,17/07/2024
45,"Phillips, Vaughn and Lamb",Craigslist,2763.41,EUR,28/09/2024,FALSE,29/09/2021
46,Baker Ltd,Airbnb,4616.31,INR,15/03/2020,FALSE,01/01/2023
47,Flores LLC,Zillow,4860.94,EUR,04/08/2021,FALSE,29/10/2024
48,Ross-Hall,Zillow,1876.36,INR,12/06/2022,TRUE,12/05/2021
49,"Schneider, Larson and Rivera",Apartments.com,2866.57,EUR,14/03/2021,TRUE,04/05/2023
50,"Edwards, Smith and Davis",Apartments.com,3530.49,USD,14/10/2021,TRUE,23/10/2024
51,Dominguez-Price,Airbnb,4625.14,EUR,20/05/2021,FALSE,15/07/2021
52,"Brown, Wilson and Taylor",Airbnb,4442.55,USD,24/01/2021,FALSE,22/01/2021
53,"Sullivan, Jimenez and Lyons",Realtor,4973.24,USD,26/01/2023,FALSE,10/04/2024
54,"Fletcher, Brown and Vazquez",Apartments.com,1912.37,EUR,05/02/2022,FALSE,24/05/2020
